16.000,-4384.887843
16.005,-4401.022999
16.010,-4476.774339
16.015,-4562.839979
16.020,-4584.193481
16.025,-4518.359216
16.030,-4485.831619
16.035,-4558.822078
16.040,-4727.757676
16.045,-4829.430792
16.050,-4886.814971
16.055,-4964.75174
16.060,-5031.118513
16.065,-5089.478955
16.070,-5107.082072
16.075,-5141.008435
16.080,-5208.38225
16.085,-5311.576287
16.090,-5425.226283
16.095,-5515.460717
16.100,-5595.180619
16.105,-5692.65406
16.110,-5768.510359
16.115,-5754.612424
16.120,-5726.649098
16.125,-5709.840301
16.130,-5712.837229
16.135,-5705.898983
16.140,-5651.401848
16.145,-5590.349641
16.150,-5516.603637
16.155,-5420.065296
16.160,-5328.730719
16.165,-5245.221488
16.170,-5153.113006
16.175,-5074.976975
16.180,-4996.910371
16.185,-4903.758123
16.190,-4816.246425
16.195,-4759.262825
16.200,-4710.313335
16.205,-4666.860323
16.210,-4657.412885
16.215,-4644.541333
16.220,-4626.715133
16.225,-4581.832296
16.230,-4574.025061
16.235,-4556.797382
16.240,-4548.171614
16.245,-4539.867079
16.250,-4544.107956
16.255,-4531.795449
16.260,-4534.906474
16.265,-4528.722643
16.270,-4524.8057
16.275,-4517.916208
16.280,-4509.131233
16.285,-4505.352336
16.290,-4497.939493
16.295,-4492.703478
16.300,-4454.888084
16.305,-4461.250991
16.310,-4459.106864
16.315,-4454.020512
16.320,-4468.460313
16.325,-4466.068522
16.330,-4456.291164
16.335,-4434.915242
16.340,-4412.795677
16.345,-4372.799943
16.350,-4351.08235
16.355,-4360.880981
16.360,-4358.172962
16.365,-4368.404851
16.370,-4414.594121
16.375,-4422.741079
16.380,-4431.098242
16.385,-4433.507789
16.390,-4414.074002
16.395,-4397.7398
16.400,-4363.222557
16.405,-4257.309135
16.410,-4126.331277
16.415,-4003.391421
16.420,-3825.272003
16.425,-3631.582173
16.430,-3420.902054
16.435,-3230.485126
16.440,-3077.784969
16.445,-2941.244687
16.450,-2800.225586
16.455,-2607.643881
16.460,-2393.173892
16.465,-2230.095032
16.470,-2127.835956
16.475,-2033.475776
16.480,-1957.131332
16.485,-1844.337705
16.490,-1754.554737
16.495,-1693.524995
16.500,-1627.237765
16.505,-1482.793328
16.510,-1425.289451
16.515,-1302.613157
16.520,-1186.243516
16.525,-959.4672565
16.530,-804.3295658
16.535,-587.9795445
16.540,-454.3229253
16.545,-266.6486713
16.550,-108.6443488
16.555,82.80500116
16.560,196.421211
16.565,366.303266
16.570,470.3513215
16.575,612.1313961
16.580,667.9187789
16.585,767.5193941
16.590,795.9825629
16.595,834.9955063
16.600,838.8669682
16.605,814.6140141
16.610,761.4165355
16.615,720.1887011
16.620,692.3128331
16.625,648.8021995
16.630,554.2212735
16.635,417.9439325
16.640,346.958579
16.645,246.2953814
16.650,194.1041564
16.655,77.76306126
16.660,5.10277957
16.665,-104.4911335
16.670,-185.4058818
16.675,-320.1496523
16.680,-482.3712009
16.685,-632.7388571
16.690,-697.2744029
16.695,-769.5261711
16.700,-798.580913
16.705,-826.027931
16.710,-830.7583286
16.715,-822.4038802
16.720,-828.3068704
16.725,-854.4537675
16.730,-868.996829
16.735,-901.9013291
16.740,-972.5158225
16.745,-1035.389659
16.750,-1071.895032
16.755,-1093.540096
16.760,-1129.16331
16.765,-1106.347484
16.770,-1018.036835
16.775,-954.440553
16.780,-926.0617344
16.785,-832.1373596
16.790,-749.8221628
16.795,-635.2721168
16.800,-515.6707384
16.805,-369.2937851
16.810,-228.7348122
16.815,-115.6601789
16.820,-27.36670356
16.825,108.2849417
16.830,198.2454538
16.835,272.8429048
16.840,324.9369413
16.845,349.8689499
16.850,341.3899418
16.855,324.0922232
16.860,297.4593357
16.865,274.7934902
16.870,248.8888838
16.875,200.8783444
