16.000,476724.8693,478162.5318,478408.8257,479986.1196,335958.8368,165748.7346,35549.32249,195190.5819,33706.05486,30335.45893,1336.14034,5760.021576,-20217.77187,-4384.887843
16.005,475467.7144,477119.2077,477518.973,479040.0213,334264.7079,164971.9583,35098.02204,197133.8809,32775.89258,30347.64194,1086.882235,5673.519196,-20187.27403,-4401.022999
16.010,474590.8729,476491.7912,477041.1792,478452.1194,332767.23,164391.0465,34439.24532,199158.0784,31683.51143,30354.20974,834.7413844,5597.427484,-20193.87732,-4476.774339
16.015,474083.9269,476210.6149,476875.3713,478152.4633,332108.8664,164052.2639,32811.03726,201023.9794,30718.60911,30406.17687,570.3443766,5521.938315,-20238.63952,-4562.839979
16.020,473893.1558,476216.2235,476935.7918,478114.8346,331549.7382,163856.7355,29703.27097,202713.5899,29834.66852,30323.04101,313.1235062,5439.158885,-20317.83312,-4584.193481
16.025,474217.3381,476774.1514,477410.8627,478545.2074,331409.9659,164044.3788,25468.56298,203977.3661,29397.23272,30290.75864,143.5684471,5384.063113,-20419.77327,-4518.359216
16.030,475308.6737,478130.5355,478467.8516,479572.7893,331998.4735,164576.0818,20468.4136,204145.5171,28918.47093,30682.245,95.47244326,5347.522686,-20522.21679,-4485.831619
16.035,477429.0286,480452.1035,480396.8994,481454.0055,333436.5539,165468.0283,14482.95424,202334.6365,28209.43272,31839.36345,74.26347992,5319.568302,-20611.99054,-4558.822078
16.040,480755.9976,484040.9127,483374.7251,484348.344,335779.3847,167212.2439,10286.04485,199817.9257,28385.68447,33843.78947,314.0969744,5354.181518,-20683.43845,-4727.757676
16.045,483385.9994,486853.2904,485650.0599,486598.3438,337552.1458,168311.4558,5435.913127,195555.9948,28954.36299,35226.09016,755.4481397,5433.70236,-20731.15833,-4829.430792
16.050,484195.984,487822.5868,486333.8731,487273.0203,338011.5668,168591.2536,1798.665291,189461.0825,29254.70216,36682.80558,1121.622163,5468.0895,-20747.9189,-4886.814971
16.055,484118.4946,487913.332,486303.8825,487221.8495,337979.3789,168526.4497,-39.96196572,181493.188,29965.12041,38374.15395,1409.265247,5486.081473,-20757.25413,-4964.75174
16.060,482778.2283,486706.554,485229.7917,486142.9996,337655.9929,167951.2047,-729.2077335,173095.4125,29892.054,39550.55336,1628.564002,5485.614602,-20732.14679,-5031.118513
16.065,480246.5774,484299.4857,483312.9737,484173.6087,336461.3332,166738.3826,-798.9133117,165542.6588,29296.78304,40511.71187,1670.5604,5409.332194,-20728.93299,-5089.478955
16.070,475390.3574,479529.762,479464.3403,480226.623,333871.8084,164420.3535,-876.0757627,158140.4591,28286.62456,40639.41127,1273.639578,5203.582653,-20745.56568,-5107.082072
16.075,471546.9684,475721.9621,476353.8435,477043.3999,332125.8528,163147.775,762.9543702,151684.9265,28245.77798,41422.27244,619.9201967,4980.424583,-20799.63795,-5141.008435
16.080,469960.7314,474172.8488,475044.0756,475625.0946,330806.0485,161936.7267,3877.582416,145367.6312,27333.72059,41663.58786,288.1116063,4975.485962,-20880.9559,-5208.38225
16.085,470164.7193,474445.1898,475316.2455,475791.1628,330764.3581,161859.3349,8499.204427,141501.6492,26114.96022,42360.22124,-52.83182972,4944.462485,-20998.80549,-5311.576287
16.090,472406.0724,476748.8856,477174.8517,477555.0032,332008.7924,162581.6666,13361.6864,138726.5669,24670.56065,42796.77029,-456.1745671,4873.927454,-21142.90653,-5425.226283
16.095,476782.1985,481126.4222,480585.6587,480837.4235,333840.9798,163827.5402,18203.11417,137754.8208,23634.65627,42896.95381,-545.9666582,4870.721443,-21270.77243,-5515.460717
16.100,480933.6403,485280.2523,483872.7259,484042.0704,335853.4097,165094.738,23617.69513,138034.4606,23174.6743,43403.82462,-486.910673,4879.88312,-21334.02764,-5595.180619
16.105,483066.6739,487464.2801,485557.4053,485673.6798,336666.1567,165513.7181,28305.21532,139801.0083,22324.4302,43893.33035,-195.4719131,4953.13592,-21359.86653,-5692.65406
16.110,483216.4021,487705.8079,485591.4884,485649.8708,336357.8571,165119.2422,32355.97485,143053.8228,21386.03089,44648.82751,-53.5852435,4918.181919,-21327.41866,-5768.510359
16.115,481769.5458,486263.0559,484356.4209,484342.98,335089.6829,163935.913,35457.77747,149585.0929,21141.56427,45014.263,42.93543231,4867.949794,-21240.50167,-5754.612424
16.120,478625.1201,483122.1085,481726.0363,481639.1822,333193.4052,162467.7437,38477.53329,158276.84,21176.79282,45212.32879,-54.09930185,4794.110861,-21156.00713,-5726.649098
16.125,476436.6021,480928.9671,480009.1075,479870.0944,331998.8639,161239.8255,40641.08143,166709.7928,21391.7914,45485.59425,-286.9100252,4745.415083,-21155.75148,-5709.840301
16.130,475695.183,480214.0643,479402.262,479250.4202,331823.956,160886.0244,41664.43835,175840.5657,22668.44444,45548.95649,-438.0638954,4710.45398,-21216.26353,-5712.837229
16.135,475719.3497,480225.8374,479332.76,479138.9568,332115.1878,160848.1606,42339.78356,183790.2832,24677.95413,45427.7154,-478.6995624,4717.66009,-21322.56124,-5705.898983
16.140,476496.3901,481049.0529,479814.1119,479572.8047,333205.4994,161132.718,42756.42233,190025.3041,27177.14936,45219.85057,-427.1308883,4722.335699,-21450.26991,-5651.401848
16.145,477518.6322,482122.4546,480431.3621,480149.5741,334493.8159,161394.1703,42753.529,193818.4366,29878.90894,44558.32168,-271.7021137,4738.603624,-21568.07996,-5590.349641
16.150,478238.7711,482895.8836,480800.2817,480507.874,335372.373,161413.3624,41701.8854,195695.4632,32819.07867,43751.5177,-101.6222062,4760.205874,-21637.05473,-5516.603637
