"Time","Point_01 Monitor: Point_01 Monitor (Pa)","Point_02 Monitor: Point_02 Monitor (Pa)","Point_03 Monitor: Point_03 Monitor (Pa)","Point_04 Monitor: Point_04 Monitor (Pa)","Point_05 Monitor: Point_05 Monitor (Pa)","Point_06 Monitor: Point_06 Monitor (Pa)","Point_07 Monitor: Point_07 Monitor (Pa)","Point_08 Monitor: Point_08 Monitor (Pa)","Point_09 Monitor: Point_09 Monitor (Pa)","Point_10 Monitor: Point_10 Monitor (Pa)","Point_11 Monitor: Point_11 Monitor (Pa)","Point_12 Monitor: Point_12 Monitor (Pa)","Point_13 Monitor: Point_13 Monitor (Pa)","Point_14 Monitor: Point_14 Monitor (Pa)"
10.699999999999816,494222.485380027,498081.3512643352,494831.4833359485,493667.01784833765,345502.6171635506,163918.1838161359,13465.61673548977,137793.1944071633,22360.959294230663,49325.65866833292,796.4174151312636,5907.653738782637,-21591.723787949933,-2050.1352757844606
10.709999999999816,494562.14992881316,498083.7783030886,495182.0875653678,494100.1109782574,344676.98435856134,165165.09705587174,18735.565052282665,139871.87423617314,22239.652788871852,51336.27830140674,831.8778770702421,5924.038002984793,-21649.558531389663,-1841.4709935176736
10.719999999999816,494735.3339470049,497844.5915107294,495228.28555254894,494319.925423347,343501.64585567685,166011.78397109808,21427.57934781813,138426.56362378222,23986.405173412753,52286.57992729029,854.1935364267844,5898.670166832879,-21653.432770222156,-1577.4996863272538
10.729999999999816,494843.5089248249,497554.11846922076,495133.68625130056,494333.06512106385,342555.8857138616,166492.61278151826,23380.038412683523,134485.75978340564,28956.057973248127,52306.57765556865,901.5626067523174,5857.014707208018,-21638.724925419443,-1394.5078144081572
10.739999999999815,494716.23732961813,497081.45962509676,494745.4786441537,493999.6203586279,341967.8735388759,166641.0694053276,25068.54569910563,128452.1579015153,34204.162772180855,52451.04530997694,919.2001502920409,5799.9685935888,-21661.608647245495,-1288.8938594357494
10.749999999999815,494238.6364402511,496286.9309579102,493996.46776131884,493416.22976956767,341916.9469789852,166500.23666913746,25761.05769565992,122665.73308635307,39000.99258904121,52666.077357810726,927.2601405549682,5711.84268396705,-21747.230515394578,-1264.7175215910008
10.759999999999815,493751.3605793491,495489.71679779026,493161.1867196537,492856.87221246614,342460.51654122805,166385.3658984357,26811.94637447028,119454.34789041961,42365.71374795692,53197.05303284383,946.3126798238292,5642.941127449649,-21855.30931781458,-1301.2375632715887
10.769999999999815,493505.5749471812,494981.55803421617,492517.3910739185,492471.09570242435,343846.0837981172,166398.88438427026,27179.97164667763,119976.17740343872,44642.488132807666,53852.649135951826,900.2540719886578,5596.6703740900775,-21942.56912480527,-1241.5508367903165
10.779999999999815,493593.67225301865,494886.79048761784,492272.607919118,492291.32368965907,345808.2436531348,166610.54567339463,27000.243120969775,123912.70998979671,46099.82345333476,54895.885801277735,825.2848878110486,5580.18856502185,-21999.17915228497,-1147.340011141542
10.789999999999814,493834.91924048046,495008.75432074856,492189.7872311794,492189.6675887479,348275.4204007384,166772.65258182088,28595.565985119105,130042.85058015994,46655.72510569634,55033.41216842726,671.8765032339045,5549.191953169965,-22073.370522344037,-1086.2117401955843
