16.000,35549.32249,195190.5819,33706.05486,30335.45893
16.005,35098.02204,197133.8809,32775.89258,30347.64194
16.010,34439.24532,199158.0784,31683.51143,30354.20974
16.015,32811.03726,201023.9794,30718.60911,30406.17687
16.020,29703.27097,202713.5899,29834.66852,30323.04101
16.025,25468.56298,203977.3661,29397.23272,30290.75864
16.030,20468.4136,204145.5171,28918.47093,30682.245
16.035,14482.95424,202334.6365,28209.43272,31839.36345
16.040,10286.04485,199817.9257,28385.68447,33843.78947
16.045,5435.913127,195555.9948,28954.36299,35226.09016
16.050,1798.665291,189461.0825,29254.70216,36682.80558
16.055,-39.96196572,181493.188,29965.12041,38374.15395
16.060,-729.2077335,173095.4125,29892.054,39550.55336
16.065,-798.9133117,165542.6588,29296.78304,40511.71187
16.070,-876.0757627,158140.4591,28286.62456,40639.41127
16.075,762.9543702,151684.9265,28245.77798,41422.27244
16.080,3877.582416,145367.6312,27333.72059,41663.58786
16.085,8499.204427,141501.6492,26114.96022,42360.22124
16.090,13361.6864,138726.5669,24670.56065,42796.77029
16.095,18203.11417,137754.8208,23634.65627,42896.95381
16.100,23617.69513,138034.4606,23174.6743,43403.82462
16.105,28305.21532,139801.0083,22324.4302,43893.33035
16.110,32355.97485,143053.8228,21386.03089,44648.82751
16.115,35457.77747,149585.0929,21141.56427,45014.263
16.120,38477.53329,158276.84,21176.79282,45212.32879
16.125,40641.08143,166709.7928,21391.7914,45485.59425
16.130,41664.43835,175840.5657,22668.44444,45548.95649
16.135,42339.78356,183790.2832,24677.95413,45427.7154
16.140,42756.42233,190025.3041,27177.14936,45219.85057
16.145,42753.529,193818.4366,29878.90894,44558.32168
16.150,41701.8854,195695.4632,32819.07867,43751.5177
16.155,40073.52804,195122.0311,35655.82464,43364.07029
16.160,38609.94293,193797.5318,37402.59084,42764.89937
16.165,36359.72155,192985.7207,38692.00898,42566.2283
16.170,32860.83767,192263.9587,39648.00225,42316.94657
16.175,30814.23745,192064.8739,40009.1059,42139.53261
16.180,29348.13352,191794.2101,40119.34309,42236.62659
16.185,28534.75727,190761.0261,40139.92229,42455.82126
16.190,28196.46807,189292.03,39947.73849,42897.95457
16.195,27907.01706,186895.0292,39619.07553,43487.73697
16.200,27301.29434,182929.4059,38878.09572,43597.36606
16.205,26707.29832,177737.3955,37743.06461,43789.18759
16.210,25615.82719,171850.0919,35927.90818,43769.28272
16.215,23496.65846,165333.2125,33031.68982,42698.74066
